window_number,sample_index,amplitude
6,43,69.15296291452651
6,44,102.89844762761581
6,45,131.06728354263575
6,46,153.23753935249886
6,47,169.5633723226543
6,48,180.59829037608085
6,49,187.08452880312888
6,50,189.75627705555885
6,51,189.20898926604846
6,52,185.86610405424787
6,53,180.03174260105223
6,54,171.97873963968294
6,55,162.0154152567836
6,56,150.50574526916063
6,57,137.85566143711426
6,58,124.48793001500957
6,59,110.8114330800023
6,60,97.18266240167804
6,61,83.86862300247726
6,62,71.02583009948346
6,63,58.70152421558303
6,64,46.85662827804026
6,65,35.40471770057396
6,66,24.252901379677095
6,67,13.333539110122546
6,68,2.6261135243659757
6,69,-7.834224941360037
6,70,-17.969027002594398
6,71,-27.686992471430674
6,72,-36.92024814320823
6,73,-45.65320852665978
6,74,-53.93115188327833
6,75,-61.844204723001305
6,76,-69.4977510273289
6,77,-76.98175091688118
6,78,-84.34254375992678
6,79,-91.56637241356064
6,80,-98.59339898489267
6,81,-105.36714131024756
6,82,-111.90164726777755
6,83,-118.34070259967376
