window_number,sample_index,amplitude
4,8,-4.89419149824111
4,9,-8.479417137998178
4,10,-11.326520744962426
4,11,-13.573324244671735
4,12,-15.39134996405474
4,13,-16.96435090789877
4,14,-18.460553772079383
4,15,-20.00596447684458
4,16,-21.66615712601139
4,17,-23.44523945968207
4,18,-25.303850472570932
4,19,-27.186199082534944
4,20,-29.046930623269247
4,21,-30.873333472325736
4,22,-32.69486929234599
4,23,-34.57370225873355
4,24,-36.58376494496812
4,25,-38.79670773141446
4,26,-41.287145069447895
4,27,-44.15032050296011
4,28,-47.50840008179111
4,29,-51.483182302869054
4,30,-56.134826268203824
4,31,-61.386826634762805
4,32,-66.95846742834536
4,33,-72.31990943000505
4,34,-76.6877900115182
4,35,-79.08243252309563
4,36,-78.4614040868182
4,37,-73.92512218822347
4,38,-64.95321703163827
4,39,-51.59278326194229
4,40,-34.521086640274696
4,41,-14.953319260419274
4,42,5.576050176084871
4,43,25.494439320051455
4,44,43.46028688429528
4,45,58.55186062133947
4,46,70.33204604131377
4,47,78.7906626296617
4,48,84.21468080809653
4,49,87.05286899841292
4,50,87.81105569591064
4,51,86.97356678585498
4,52,84.93719282086813
4,53,81.96319648211649
4,54,78.1678596738208
4,55,73.5632839020163
4,56,68.13463436196746
4,57,61.918589224714125
4,58,55.04811748551691
4,59,47.74946642811291
4,60,40.30019810875851
4,61,32.97189741981623
4,62,25.986343593177025
4,63,19.50271850047076
4,64,13.630197319790112
4,65,8.445682642898264
4,66,3.999364867758868
4,67,0.3043607482440267
4,68,-2.678122793662776
4,69,-5.042246051514683
4,70,-6.925117204104677
4,71,-8.486808801700375
4,72,-9.89240884767143
4,73,-11.298771418540392
4,74,-12.842300810409625
4,75,-14.623801962411523
4,76,-16.69046274829901
4,77,-19.022262734169587
4,78,-21.539641738932087
4,79,-24.142825109432597
4,80,-26.764394915822308
4,81,-29.401022642188703
4,82,-32.10998355204308
4,83,-34.9828910886493
4,84,-38.113392951109425
4,85,-41.566025371536675
4,86,-45.353755677565225
4,87,-49.439529684555076
4,88,-53.76625872221596
4,89,-58.28824324061963
4,90,-62.96317662441006
4,91,-67.69159224664745
4,92,-72.23238549479613
4,93,-76.14013721404734
4,94,-78.75715127483517
4,95,-79.27075146548542
4,96,-76.8321092748348
4,97,-70.72612844711924
4,98,-60.56729787295468
4,99,-46.46672567679774
5,0,42.961236527215334
5,1,33.816001630475995
5,2,25.32846427581369
5,3,17.7185316485641
5,4,11.120002713255523
5,5,5.583089033614718
5,6,1.0784357110233234
5,7,-2.496938664514237
5,8,-5.310282414591612
5,9,-7.579680126036357
5,10,-9.552421234563
5,11,-11.47212162281695
5,12,-13.542163790503595
5,13,-15.896929034721381
5,14,-18.58630868443708
5,15,-21.577271110789834
5,16,-24.775973299416112
5,17,-28.064612614788167
5,18,-31.33676274335455
5,19,-34.5172126196748
5,20,-37.56515654617684
5,21,-40.46799946617627
5,22,-43.232963960216
