time,ppg
17.596,53055
17.597,53063
17.598,53039
17.599,53055
17.6,53039
17.601,53047
17.602,53039
17.603,53055
17.604,53063
17.605,53039
17.606,53047
17.607,53047
17.608,53039
17.609,53023
17.61,53031
17.611,53063
17.612,53047
17.613,53055
17.614,53055
17.615,53015
17.616,53071
17.617,53063
17.618,53039
17.619,53031
17.62,53039
17.621,53039
17.622,53055
17.623,53047
17.624,53031
17.625,53039
17.626,53047
17.627,53023
17.628,53023
17.629,53031
17.63,53023
17.631,53031
17.632,53031
17.633,53031
17.634,53055
17.635,53047
17.636,53063
17.637,53063
17.638,53047
17.639,53063
17.64,53015
17.641,53015
17.642,53047
17.643,53031
17.644,53047
17.645,53047
17.646,53015
17.647,53031
17.648,53023
17.649,53031
17.65,53047
17.651,53031
17.652,53039
17.653,53031
17.654,53039
17.655,53039
17.656,53023
17.657,53047
17.658,53023
17.659,53031
17.66,53055
17.661,53031
17.662,53039
17.663,53031
17.664,53015
17.665,53007
17.666,53023
17.667,53031
17.668,53023
17.669,53031
17.67,53039
17.671,53031
17.672,53031
17.673,53047
17.674,53047
17.675,53039
17.676,53031
17.677,53031
17.678,53031
17.679,53031
17.68,53023
17.681,53015
17.682,53023
17.683,53015
17.684,53023
17.685,53047
17.686,53039
17.687,53039
17.688,53031
17.689,53031
17.69,53023
17.691,53039
17.692,53047
17.693,53015
17.694,53023
17.695,53039
17.696,53031
17.697,53015
17.698,53031
17.699,53007
17.7,53023
17.701,53031
17.702,53039
17.703,53039
17.704,53031
17.705,53007
17.706,53031
17.707,53023
17.708,53023
17.709,53047
17.71,53039
17.711,53007
17.712,53031
17.713,53039
17.714,53031
17.715,53031
17.716,53023
17.717,53023
17.718,53015
17.719,53031
17.72,53031
17.721,53007
17.722,53023
17.723,53031
17.724,53023
17.725,53007
17.726,53047
17.727,53031
17.728,53039
17.729,53023
17.73,53015
17.731,53015
17.732,53023
17.733,52999
17.734,52999
17.735,53023
17.736,53031
17.737,53023
17.738,53031
17.739,53023
17.74,53031
17.741,53007
17.742,53039
17.743,53039
17.744,53031
17.745,53015
17.746,53007
17.747,53031
17.748,53031
17.749,53047
17.75,53007
17.751,53031
17.752,53031
17.753,53023
17.754,53007
17.755,53023
17.756,53015
17.757,53023
17.758,53007
17.759,53023
17.76,52999
17.761,53007
17.762,53023
17.763,53023
17.764,52999
17.765,53031
17.766,53039
17.767,52999
17.768,53023
17.769,53007
17.77,53023
17.771,53015
17.772,53007
17.773,53007
17.774,53039
17.775,53015
17.776,53039
17.777,53047
17.778,53023
17.779,53015
17.78,53055
17.781,53023
17.782,53015
17.783,53039
17.784,53007
17.785,53015
17.786,53015
17.787,53031
17.788,53023
17.789,53031
17.79,53031
17.791,53007
17.792,53007
17.793,53007
17.794,52991
17.795,53015
17.796,53015
17.797,53023
17.798,53031
17.799,53023
17.8,53031
17.801,53023
17.802,53015
17.803,53015
17.804,53007
17.805,53023
17.806,53015
17.807,53015
17.808,53007
17.809,53015
17.81,53015
17.811,53023
17.812,53023
17.813,53015
17.814,53015
17.815,52999
17.816,53007
17.817,53007
17.818,53015
17.819,53015
17.82,53007
17.821,52991
17.822,53023
17.823,53015
17.824,53007
17.825,53015
17.826,53015
17.827,52991
17.828,53007
17.829,52983
17.83,53031
17.831,53031
17.832,53015
17.833,53015
17.834,53007
17.835,53031
17.836,52975
17.837,53023
17.838,52999
17.839,53007
17.84,52999
17.841,52983
17.842,52999
17.843,52999
17.844,53015
17.845,52999
17.846,52983
17.847,52991
17.848,52999
17.849,53007
17.85,53007
17.851,52967
17.852,53007
17.853,52999
17.854,52999
17.855,53007
17.856,52999
17.857,53007
17.858,53007
17.859,52999
17.86,52991
17.861,52983
17.862,53007
17.863,52999
17.864,52991
17.865,52991
17.866,52983
17.867,53007
17.868,52983
17.869,52983
17.87,52975
17.871,52999
17.872,53007
17.873,52975
17.874,52999
17.875,52991
17.876,52983
17.877,52983
17.878,52975
17.879,53007
17.88,52999
17.881,53007
17.882,52999
17.883,52991
17.884,52967
17.885,52999
17.886,53007
17.887,52975
17.888,53015
17.889,52983
17.89,52999
17.891,52991
17.892,53007
17.893,52991
17.894,52975
17.895,52991
17.896,52959
17.897,52999
17.898,52983
17.899,53007
17.9,52967
17.901,52991
17.902,52983
17.903,52999
17.904,52983
17.905,52991
17.906,52991
17.907,52967
17.908,52967
17.909,52991
17.91,53007
17.911,53007
17.912,52983
17.913,52983
17.914,52991
17.915,52983
17.916,52991
17.917,53007
17.918,52983
17.919,52983
17.92,52991
17.921,52991
17.922,52999
17.923,52975
17.924,53015
17.925,52975
17.926,53007
17.927,52975
17.928,52983
17.929,52999
17.93,52983
17.931,53015
17.932,53015
17.933,53015
17.934,52999
17.935,52999
17.936,52999
17.937,52999
17.938,53015
17.939,52999
17.94,52991
17.941,53023
17.942,53015
17.943,53007
17.944,52999
17.945,53031
17.946,52999
17.947,53023
17.948,52999
17.949,53023
17.95,53047
17.951,53007
17.952,53031
17.953,53015
17.954,53031
17.955,53015
17.956,53015
17.957,53047
17.958,53023
17.959,53047
17.96,53039
17.961,53031
17.962,53015
17.963,53047
17.964,53047
17.965,53039
17.966,53039
17.967,53047
17.968,53047
17.969,53047
17.97,53063
17.971,53039
17.972,53071
17.973,53055
17.974,53047
17.975,53063
17.976,53055
17.977,53063
17.978,53071
17.979,53031
17.98,53047
17.981,53063
17.982,53063
17.983,53079
17.984,53063
17.985,53063
17.986,53071
17.987,53071
17.988,53055
17.989,53063
17.99,53079
17.991,53079
17.992,53079
17.993,53087
17.994,53079
17.995,53087
17.996,53063
17.997,53071
17.998,53071
17.999,53079
18.0,53071
18.001,53063
18.002,53071
18.003,53079
18.004,53063
18.005,53079
18.006,53071
18.007,53063
18.008,53103
18.009,53103
18.01,53095
18.011,53095
18.012,53079
18.013,53079
