time,ppg
17.13,44447
17.131,44415
17.132,44415
17.133,44423
17.134,44415
17.135,44431
17.136,44455
17.137,44439
17.138,44439
17.139,44463
17.14,44447
17.141,44439
17.142,44407
17.143,44431
17.144,44431
17.145,44439
17.146,44447
17.147,44439
17.148,44431
17.149,44439
17.15,44423
17.151,44415
17.152,44399
17.153,44423
17.154,44431
17.155,44439
17.156,44431
17.157,44423
17.158,44407
17.159,44431
17.16,44439
17.161,44423
17.162,44423
17.163,44407
17.164,44431
17.165,44423
17.166,44455
17.167,44439
17.168,44431
17.169,44423
17.17,44423
17.171,44431
17.172,44439
17.173,44423
17.174,44431
17.175,44439
17.176,44431
17.177,44423
17.178,44415
17.179,44415
17.18,44415
17.181,44407
17.182,44407
17.183,44423
17.184,44423
17.185,44391
17.186,44431
17.187,44447
17.188,44391
17.189,44439
17.19,44431
17.191,44447
17.192,44415
17.193,44423
17.194,44431
17.195,44415
17.196,44399
17.197,44399
17.198,44399
17.199,44415
17.2,44423
17.201,44423
17.202,44431
17.203,44423
17.204,44391
17.205,44423
17.206,44407
17.207,44415
17.208,44399
17.209,44407
17.21,44423
17.211,44407
17.212,44375
17.213,44383
17.214,44423
17.215,44431
17.216,44423
17.217,44439
17.218,44415
17.219,44423
17.22,44407
17.221,44423
17.222,44383
17.223,44407
17.224,44431
17.225,44431
17.226,44407
17.227,44431
17.228,44415
17.229,44415
17.23,44391
17.231,44439
17.232,44431
17.233,44423
17.234,44407
17.235,44415
17.236,44407
17.237,44383
17.238,44407
17.239,44415
17.24,44383
17.241,44399
17.242,44415
17.243,44407
17.244,44407
17.245,44391
17.246,44399
17.247,44383
17.248,44383
17.249,44399
17.25,44391
17.251,44399
17.252,44399
17.253,44391
17.254,44383
17.255,44407
17.256,44415
17.257,44391
17.258,44407
17.259,44407
17.26,44415
17.261,44391
17.262,44391
17.263,44391
17.264,44391
17.265,44407
17.266,44399
17.267,44399
17.268,44399
17.269,44383
17.27,44383
17.271,44399
17.272,44383
17.273,44383
17.274,44407
17.275,44415
17.276,44391
17.277,44367
17.278,44375
17.279,44383
17.28,44375
17.281,44399
17.282,44367
17.283,44383
