Time-stamp,Pressure_cuff_signal,Signal_1
17.061,11216,53039
17.062,11232,53039
17.063,11248,53055
17.064,11344,53039
17.065,11200,53055
17.066,11248,53063
17.067,11216,53039
17.068,11184,53055
17.069,11216,53023
17.07,11248,53063
17.071,11184,53039
17.072,11216,53031
17.073,11232,53047
17.074,11216,53047
17.075,11216,53047
17.076,11216,53063
17.077,11248,53039
17.078,11216,53063
17.079,11216,53063
17.08,11184,53039
17.081,11328,53039
17.082,11200,53031
17.083,11216,53063
17.084,11216,53023
17.085,11216,53031
17.086,11216,53031
17.087,11216,53063
17.088,11200,53031
17.089,11248,53047
17.09,11216,53039
17.091,11216,53047
17.092,11216,53039
17.093,11216,53031
17.094,11216,53063
17.095,11216,53071
17.096,11184,53055
17.097,11216,53047
17.098,11216,53055
17.099,11216,53071
17.1,11200,53031
17.101,11216,53039
17.102,11248,53039
17.103,11216,53039
17.104,11216,53031
17.105,11216,53063
17.106,11184,53031
17.107,11184,53039
17.108,11216,53063
17.109,11200,53047
17.11,11216,53023
17.111,11200,53039
17.112,11184,53039
17.113,11216,53023
17.114,11232,53031
17.115,11168,53015
17.116,11200,53031
17.117,11216,53031
17.118,11216,53047
17.119,11248,53039
17.12,11248,53047
17.121,11232,53039
17.122,11216,53039
17.123,11152,53039
17.124,11216,53023
17.125,11232,53023
17.126,11216,53039
17.127,11200,53039
17.128,11216,53031
17.129,11216,53047
17.13,11216,53039
17.131,11232,53055
17.132,11216,53039
17.133,11184,53023
17.134,11216,53039
17.135,11216,53063
17.136,11216,53031
17.137,11216,53023
17.138,11216,53031
17.139,11216,53023
17.14,11216,53031
17.141,11216,53031
17.142,11248,53039
17.143,11216,53039
17.144,11216,53039
17.145,11152,53031
17.146,11216,53031
17.147,11152,53023
17.148,11216,52999
17.149,11248,53047
17.15,11184,53031
17.151,11248,53047
17.152,11216,53063
17.153,11200,53015
17.154,11216,53031
17.155,11216,53047
17.156,11216,53039
17.157,11216,53039
17.158,11216,53047
17.159,11200,53047
17.16,11248,53039
17.161,11216,53039
17.162,11200,53047
17.163,11216,53023
17.164,11216,53023
17.165,11232,53023
17.166,11232,53063
17.167,11200,53047
17.168,11216,53015
17.169,11216,53031
17.17,11216,53039
17.171,11216,53039
17.172,11248,53063
17.173,11248,53055
17.174,11200,53031
17.175,11248,53039
17.176,11216,53047
17.177,11200,53031
17.178,11216,53031
17.179,11216,53039
17.18,11216,53031
17.181,11168,53039
17.182,11248,53023
17.183,11248,53047
17.184,11216,53031
17.185,11184,53039
17.186,11216,53031
17.187,11216,53031
17.188,11216,53047
17.189,11216,53039
17.19,11184,53007
17.191,11200,53023
17.192,11248,53039
17.193,11216,53031
17.194,11248,53039
17.195,11232,53031
17.196,11200,53039
17.197,11248,53039
17.198,11184,53015
17.199,11216,53031
17.2,11216,53039
17.201,11232,53023
17.202,11200,53063
17.203,11232,53039
17.204,11248,53031
17.205,11184,53039
17.206,11216,53015
17.207,11184,53023
17.208,11184,53015
17.209,11232,53039
17.21,11248,53055
17.211,11328,53039
17.212,11248,53055
17.213,11248,53039
17.214,11200,53047
17.215,11216,53047
17.216,11248,53031
17.217,11216,53031
17.218,11216,53023
17.219,11200,53023
17.22,11216,53047
17.221,11200,53055
17.222,11200,53023
17.223,11216,53023
17.224,11216,53039
17.225,11200,53023
17.226,11200,53039
17.227,11200,53031
17.228,11248,53031
17.229,11184,53023
17.23,11248,53039
17.231,11216,53031
17.232,11216,53039
17.233,11216,53007
17.234,11216,53023
17.235,11232,53047
17.236,11216,53031
17.237,11248,53015
17.238,11216,53031
17.239,11216,53007
17.24,11232,53039
17.241,11184,53031
17.242,11248,53015
17.243,11184,53023
17.244,11248,52999
17.245,11216,53023
17.246,11216,53031
17.247,11216,53023
17.248,11216,53015
17.249,11248,53023
17.25,11216,53007
17.251,11216,53015
17.252,11216,53023
17.253,11216,53039
17.254,11232,53007
17.255,11216,53023
17.256,11248,53015
17.257,11216,53031
17.258,11216,53007
17.259,11216,53015
17.26,11248,52999
17.261,11216,53007
17.262,11248,53015
17.263,11216,53023
