Time-stamp,Pressure_cuff_signal,Signal_2
17.376,11216,44359
17.377,11248,44367
17.378,11184,44383
17.379,11216,44351
17.38,11184,44375
17.381,11232,44383
17.382,11216,44367
17.383,11248,44399
17.384,11184,44375
17.385,11216,44399
17.386,11216,44367
17.387,11216,44407
17.388,11216,44399
17.389,11216,44423
17.39,11232,44399
17.391,11216,44391
17.392,11216,44423
17.393,11216,44415
17.394,11216,44431
17.395,11216,44415
17.396,11248,44431
17.397,11184,44431
17.398,11216,44423
17.399,11248,44415
17.4,11216,44439
17.401,11216,44423
17.402,11248,44423
17.403,11216,44431
17.404,11232,44431
17.405,11200,44439
17.406,11248,44407
17.407,11200,44415
17.408,11216,44447
17.409,11216,44431
17.41,11216,44455
17.411,11216,44463
17.412,11216,44455
17.413,11216,44455
17.414,11184,44439
17.415,11216,44447
17.416,11184,44463
17.417,11216,44479
17.418,11184,44455
17.419,11200,44463
17.42,11216,44455
17.421,11200,44439
17.422,11248,44479
17.423,11184,44487
17.424,11200,44471
17.425,11216,44479
17.426,11232,44471
17.427,11232,44463
17.428,11216,44495
17.429,11216,44479
17.43,11216,44463
17.431,11248,44463
17.432,11216,44463
17.433,11216,44471
17.434,11216,44479
17.435,11200,44487
17.436,11216,44487
17.437,11248,44455
17.438,11216,44511
17.439,11216,44471
17.44,11248,44495
17.441,11216,44511
17.442,11216,44471
17.443,11232,44487
17.444,11248,44487
17.445,11200,44463
17.446,11248,44487
17.447,11184,44471
17.448,11200,44495
17.449,11216,44487
17.45,11216,44495
17.451,11216,44495
17.452,11184,44511
17.453,11200,44487
17.454,11232,44479
17.455,11216,44495
17.456,11184,44495
17.457,11216,44495
17.458,11248,44503
17.459,10960,44487
17.46,11232,44511
17.461,11248,44487
17.462,11200,44503
17.463,11216,44511
17.464,11232,44495
17.465,11200,44503
17.466,11216,44487
17.467,11232,44487
17.468,11232,44503
17.469,11232,44487
17.47,11200,44471
17.471,11216,44487
17.472,11200,44471
17.473,11216,44535
17.474,11184,44495
17.475,11216,44495
17.476,11216,44503
17.477,11216,44495
17.478,11232,44519
17.479,11216,44519
17.48,11216,44503
17.481,11248,44519
17.482,11216,44495
17.483,11216,44495
17.484,11232,44503
17.485,11216,44487
17.486,11216,44519
17.487,11216,44527
17.488,11216,44487
17.489,11232,44503
17.49,11216,44487
17.491,11216,44511
17.492,11200,44487
17.493,11216,44511
17.494,11216,44503
17.495,11216,44519
17.496,11248,44519
17.497,11248,44519
17.498,11184,44503
17.499,11232,44511
17.5,11200,44495
17.501,11216,44479
17.502,11216,44503
17.503,11248,44511
17.504,11216,44503
17.505,11216,44519
17.506,11232,44503
17.507,11216,44519
17.508,11216,44487
17.509,11216,44495
17.51,11184,44511
17.511,11216,44503
17.512,11216,44503
17.513,11248,44519
17.514,11232,44519
17.515,11216,44495
17.516,11200,44503
17.517,11248,44495
17.518,11232,44487
17.519,11216,44511
17.52,11184,44495
17.521,11216,44503
17.522,11216,44487
17.523,11184,44487
17.524,11248,44495
17.525,11248,44495
17.526,11216,44479
17.527,11216,44495
17.528,11184,44479
17.529,11216,44503
17.53,11216,44487
17.531,11248,44487
17.532,11232,44495
17.533,11200,44487
17.534,11232,44487
17.535,11216,44479
17.536,11200,44487
17.537,11216,44495
17.538,11232,44487
17.539,11216,44479
17.54,11184,44495
17.541,11232,44479
17.542,11184,44495
17.543,11216,44511
17.544,11200,44487
17.545,11216,44479
17.546,11200,44495
17.547,11216,44503
17.548,11248,44479
17.549,11216,44487
17.55,11216,44479
17.551,11184,44487
17.552,11216,44495
